iter	Passed	Remaining
792	2427	633
793	2428	630
794	2431	626
795	2433	623
796	2434	620
797	2436	616
798	2438	613
799	2441	610
800	2444	607
801	2446	604
802	2448	600
803	2451	597
804	2452	594
805	2454	590
806	2458	587
807	2460	584
808	2462	581
809	2465	578
810	2466	574
811	2468	571
812	2469	568
813	2472	564
814	2473	561
815	2476	558
816	2478	555
817	2480	551
818	2482	548
819	2485	545
820	2488	542
821	2491	539
822	2493	536
823	2495	532
824	2498	529
825	2502	527
826	2505	524
827	2507	520
828	2509	517
829	2511	514
830	2512	511
831	2516	508
832	2519	505
833	2521	501
834	2523	498
835	2526	495
836	2527	492
837	2531	489
838	2534	486
839	2536	483
840	2537	479
841	2539	476
842	2541	473
843	2543	470
844	2547	467
845	2549	464
846	2553	461
847	2554	457
848	2560	455
849	2562	452
850	2564	449
851	2566	445
852	2568	442
853	2570	439
854	2572	436
855	2574	433
856	2576	429
857	2579	426
858	2581	423
859	2582	420
860	2584	417
861	2589	414
862	2591	411
863	2593	408
864	2594	404
865	2596	401
866	2598	398
867	2600	395
868	2603	392
869	2605	389
870	2607	386
871	2609	383
872	2611	379
873	2613	376
874	2614	373
875	2616	370
876	2619	367
877	2621	364
878	2622	361
879	2624	357
880	2627	354
881	2628	351
882	2630	348
883	2631	345
884	2633	342
885	2635	339
886	2637	335
887	2638	332
888	2640	329
889	2641	326
890	2643	323
891	2646	320
892	2648	317
893	2649	314
894	2651	311
895	2652	307
896	2654	304
897	2656	301
898	2657	298
899	2659	295
900	2661	292
901	2663	289
902	2665	286
903	2667	283
904	2669	280
905	2671	277
906	2672	274
907	2675	271
908	2677	268
909	2680	265
910	2682	262
911	2684	259
912	2686	256
913	2688	252
914	2690	249
915	2693	247
916	2695	243
917	2697	240
918	2698	237
919	2700	234
920	2703	231
921	2705	228
922	2706	225
923	2708	222
924	2710	219
925	2711	216
926	2713	213
927	2715	210
928	2718	207
929	2720	204
930	2721	201
931	2723	198
932	2724	195
933	2726	192
934	2728	189
935	2729	186
936	2733	183
937	2734	180
938	2736	177
939	2738	174
940	2740	171
941	2741	168
942	2743	165
943	2745	162
944	2748	159
945	2750	156
946	2751	154
947	2753	151
948	2755	148
949	2756	145
950	2758	142
951	2760	139
952	2763	136
953	2764	133
954	2768	130
955	2770	127
956	2772	124
957	2775	121
958	2778	118
959	2782	115
960	2786	113
961	2788	110
962	2790	107
963	2793	104
964	2795	101
965	2796	98
966	2798	95
967	2803	92
968	2805	89
969	2809	86
970	2811	83
971	2813	81
972	2815	78
973	2817	75
974	2819	72
975	2821	69
976	2824	66
977	2825	63
978	2828	60
979	2830	57
980	2832	54
981	2834	51
982	2840	49
983	2842	46
984	2844	43
985	2846	40
986	2847	37
987	2849	34
988	2851	31
989	2854	28
990	2855	25
991	2857	23
992	2859	20
993	2862	17
994	2866	14
995	2868	11
996	2870	8
997	2871	5
998	2873	2
999	2875	0
